QUESTION,BT LEVEL,BT LEVEL (REVISED)
Differentiate spoken and written language in FIVE (5) aspects. ,Analysis,Analyze
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,Comprehension,Understand
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Knowledge,Remember
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,Comprehension,Understand
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,Comprehension,Understand
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,Comprehension,Understand
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,Comprehension,Understand
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,Comprehension,Understand
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,Evaluation,Evaluate
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,Analysis,Analyze
Explain FIVE (5) characteristics of social media. ,Comprehension,Understand
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,Knowledge,Remember
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,Comprehension,Understand
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,Comprehension,Understand
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,Comprehension,Understand
Explain FIVE (5) key components of organization crisis definition.,Comprehension,Understand
List FIVE (5) types of trick questions.,Knowledge,Remember
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,Comprehension,Understand
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,Comprehension,Understand
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,Comprehension,Understand
Identify the type of crisis based on time as a critical variable. ,Comprehension,Understand
List TEN (10) components of an effective crisis communication plan.,Comprehension,Understand
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,Comprehension,Understand
Identify TEN (10) tips during the press conference. ,Knowledge,Remember
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,Comprehension,Understand
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,Comprehension,Understand
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",Comprehension,Understand
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,Comprehension,Understand
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,Comprehension,Understand
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,Analysis,Analyze
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,Comprehension,Understand
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,Create
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,Create
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,Evaluation,Evaluate
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis,Create
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,Synthesis,Create
Describe what happens during the negative feedback loop of thermoregulation. ,Comprehension,Understand
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,Comprehension,Understand
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,Comprehension,Understand
Suggest FOUR (4) recommendations in dealing with intersexes. ,Synthesis,Create
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,Create
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluation,Evaluate
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,Create
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",Evaluation,Evaluate
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluation,Evaluate
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis,Create
"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",Analysis,Analyze
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",Comprehension,Understand
Define instructional materials based on your understanding. ,Knowledge,Remember
List TWO (2) importance of using instructional materials in teaching.,Knowledge,Remember
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,Analysis,Analyze
Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,Application,Apply
Define instructional materials. ,Knowledge,Remember
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,Knowledge,Remember
Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,Analysis,Analyze
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,Comprehension,Understand
Define instructional materials. Provide an example of an instructional material for a subject. ,Comprehension,Understand
"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",Analysis,Analyze
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,Knowledge,Remember
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,Comprehension,Understand
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",Comprehension,Understand
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",Comprehension,Understand
Define instructional materials and provide an example of it. ,Comprehension,Understand
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,Comprehension,Understand
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,Comprehension,Understand
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,Comprehension,Understand
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,Comprehension,Understand
Support your views with ONE (1) example for each disadvantage. ,Evaluation,Evaluate
Propose TWO (2) strategies to reduce the occurrence of bullying.,Synthesis,Create
Support your views with ONE (1) example for each strategy.,Evaluation,Evaluate
Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,Synthesis,Create
Support your answers with ONE (1) example for each factor.,Synthesis,Create
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,Analysis,Analyze
Support your answers with ONE (1) example in everyday life for each theory. ,Evaluation,Evaluate
Identify TWO (2) types of personality that are relevant to aggression. ,Comprehension,Understand
Support your answers with ONE (1) example from everyday life for each type of personality. ,Evaluation,Evaluate
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,Analysis,Analyze
Support your answers with ONE (1) example in everyday life for each strategy. ,Evaluation,Evaluate
Define schemas. ,Knowledge,Remember
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Analysis,Analyze
Define attitudes. ,Knowledge,Remember
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Evaluation,Evaluate
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",Evaluation,Evaluate
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,Synthesis,Create
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,Synthesis,Create
Propose TWO (2) self-presentation tactics for impression management. ,Synthesis,Create
Support your views with TWO (2) examples in everyday life for each tactic. ,Evaluation,Evaluate
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,Synthesis,Create
Support your views with TWO (2) examples from everyday life for each origins. ,Evaluation,Evaluate
Propose TWO (2) strategies to resist persuasion. ,Synthesis,Create
Support your answers with TWO (2) examples in everyday life for each strategy. ,Evaluation,Evaluate
Define attribution. ,Knowledge,Remember
Explain TWO theories of causal attribution that was proposed by Jones and Davis (1965) and Kelley (1972). ,Comprehension,Understand
Support your answers with ONE (1) example in everyday life for EACH theory. ,Evaluation,Evaluate
Define prosocial behaviors. ,Knowledge,Remember
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors. ,Comprehension,Understand
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,Evaluation,Evaluate
Define prejudice. ,Knowledge,Remember
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,Knowledge,Remember
Support your answers with ONE (1) example in everyday life for EACH perspective. ,Evaluation,Evaluate
List down the environmental factors that an international marketer should consider. ,Knowledge,Remember
Define the Demographic characteristics.,Knowledge,Remember
The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,Comprehension,Understand
Discuss political risk in the Political-Legal Environment of the Host Country. ,Comprehension,Understand
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,Comprehension,Understand
Explain THREE (3) data collection challenges in advertising research.,Comprehension,Understand
Explain on global and local approach in coordinating and controlling the international advertising.,Comprehension,Understand
Describe the advantages of Product Standardization. ,Knowledge,Remember
Explain the Mandatory of Product Adaptation. ,Comprehension,Understand
Explain the consideration of pricing objectives in marketing mix. ,Comprehension,Understand
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,Comprehension,Understand
Discuss the relationship between advertising and children. ,Comprehension,Understand
Discuss the impact of advertising on children. ,Comprehension,Understand
Identify and explain FIVE (5) countries that ban advertising to children. ,Comprehension,Understand
Explain the function of International Monetary Fund (IMF). ,Comprehension,Understand
Explain on Brand Piracy. ,Comprehension,Understand
Explain the packaging and labeling decisions. ,Comprehension,Understand
Explain the anti-advertising consumer organizations culture. ,Comprehension,Understand
Explain the effect of stereotyping young teenage in advertising on society. ,Comprehension,Understand
Describe the Concept of Culture.,Knowledge,Remember
Illustrate TWO (2) Implications for International Advertisers ,Comprehension,Understand
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,Evaluation,Evaluate
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",Comprehension,Understand
Explain FIVE (5) reasons for the importance of global markets to marketers. ,Comprehension,Understand
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,Comprehension,Understand
Explain THREE (3) waves of globalisation. ,Comprehension,Understand
Describe the challenges in global advertising. ,Knowledge,Remember
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",Comprehension,Understand
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,Comprehension,Understand
Identify the role of advertising in global women's magazines and local women's magazine. ,Comprehension,Understand
Describe the function of International Monetary Fund (IMF).,Knowledge,Remember
Identify THREE (3) classification system of economy. ,Knowledge,Remember
Summarise the challenges of global advertising. ,Comprehension,Understand
Identify any FIVE (5) significances of nonverbal communication in organization. ,Knowledge,Remember
Explain formal network. ,Comprehension,Understand
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,Comprehension,Understand
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication. ,Comprehension,Understand
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",Knowledge,Remember
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,Knowledge,Remember
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,Knowledge,Remember
Define organizational culture according to Schein (1990). ,Knowledge,Remember
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",Comprehension,Understand
Draw and label the model of Karl Weick's Theory of Organizing. ,Comprehension,Understand
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,Knowledge,Remember
List FIVE (5) elements in downward communication.,Knowledge,Remember
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base. ,Evaluation,Evaluate
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",Comprehension,Understand
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,Comprehension,Understand
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,Evaluation,Evaluate
Hersey and Blanchard (1977) style of leadership specifies that a leader's behavior corresponds to employees' level of maturity. Explain the FOUR (4) styles of Situational Leadership and support your answer with an example for each of the styles on whom they should be applied in an organization. ,Comprehension,Understand
Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,Evaluation,Evaluate
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,Evaluation,Evaluate
Explain distributive bargaining and integrative bargaining. ,Comprehension,Understand
Discuss THREE (3) factors influencing the conflict management process. Support each of your answers with ONE (1) relevant example. ,Evaluation,Evaluate
Explain TWO characteristics of rich media. ,Comprehension,Understand
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer. ,Comprehension,Understand
Define Classical approach and Human Relations approach. ,Knowledge,Remember
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",Application,Apply
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",Comprehension,Understand
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,Comprehension,Understand
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,Comprehension,Understand
Compare any FIVE (5) differences between formal networks and informal networks. ,Analysis,Analyze
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,Comprehension,Understand
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,Comprehension,Understand
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",Knowledge,Remember
Generalize FIVE (5) ways to use digital photography in classroom teaching and learning.,Evaluation,Evaluate
Analyze FIVE (5) disadvantages of multimedia in education. ,Analysis,Analyze
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,Comprehension,Understand
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",Comprehension,Understand
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",Evaluation,Evaluate
Define the basic concepts involved in incorporating technology in teaching English language at secondary school level. ,Comprehension,Understand
Illustrate with example the FOUR (4) advantages of photography. ,Comprehension,Understand
Categorize FIVE (5) advantages of multimedia in primary school education. ,Comprehension,Understand
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,Comprehension,Understand
Draw a technology enhanced language learning classroom sketch for low proficiency primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Comprehension,Understand
Evaluate your sketch with ADDIE's model procedure. ,Evaluation,Evaluate
Draw a technology enhanced language learning classroom sketch for advanced level primary year 6 students. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ,Comprehension,Understand
Evaluate your sketch with ASSURE's model procedure. ,Evaluation,Evaluate
"Technology has been used in most schools since the 90s, but it still has some interruptions. Validate the top FOUR (4) problematic issues with technology in education today. ",Evaluation,Evaluate
Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,Comprehension,Understand
Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,Comprehension,Understand
Describe the 5 hierarchical stages of Welliver's Instructional Transformation Model. ,Knowledge,Remember
Explain FOUR (4) advantages of using multimedia in classroom. ,Comprehension,Understand
Interpret FIVE (5) emerging trends of technology application in education. ,Comprehension,Understand
"Draw a technology enhanced language learning classroom sketch for a writing lesson with 12 high proficiency students, aged 10. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Comprehension,Understand
Evaluate your sketch with ADDIE's model procedure.,Evaluation,Evaluate
"Draw a technology enhanced language learning classroom sketch for a grammar lesson with 10 low proficiency students, aged 13. You should include FIVE (5) basic technology facilities with label which are essential to the integration of technology in the classroom. ",Comprehension,Understand
Define the basic concepts of Educational Technology. ,Knowledge,Remember
"Provide a guideline for effective use of photography of display materials"" in teaching of English language. ",Comprehension,Understand
Categorize the basic concepts of multimedia with an example for each. ,Comprehension,Understand
Analyze FOUR (4) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning. ,Analysis,Analyze
Define Educational Technology based on FIVE (5) instructional design view. ,Knowledge,Remember
Relate FIVE (5) examples on how video often make new connections and discoveries between curriculum topics and the world outside the classroom. ,Analysis,Analyze
Explain all the elements of multimedia with examples. ,Comprehension,Understand
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,Comprehension,Understand
Explain the term inflation as used in building economics. ,Comprehension,Understand
Outline TWO (2) main causes of inflation. ,Comprehension,Understand
Elaborate the term of national income as used in building economics.,Comprehension,Understand
Explain FIVE (5) characteristics of the construction sector. ,Comprehension,Understand
Sketch a diagram to illustrate the activities and products in the construction industry. ,Application,Apply
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,Comprehension,Understand
The price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. Describe the TWO (2) types of production cost with examples. ,Comprehension,Understand
You are working with SP Setia Properties as the Sales Manager for the following project. Discuss EIGHT (8) ways to increase profits of the project. ,Comprehension,Understand
"Your profit from previous project is RM30,000.00 and you just won a new project to construct a new airport runway at Sepang, Selangor. Decide whether you are going to purchase the bulldozer or pay out bonuses to your staff. Use the concept of opportunities cost, choices and scarcity to aid your explanation. ",Application,Apply
Discuss the roles of construction industry in a country's growth. Provide evidences on how construction industries worldwide have contributed to the economic growths of their respective countries to enhance your discussions.,Analysis,Analyze
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,Comprehension,Understand
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,Comprehension,Understand
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,Analysis,Analyze
Analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.,Synthesis,Create
Explain the basic concepts in construction economics as introduced by Myers (2017).,Comprehension,Understand
The construction industry comprises a wide diversity of firms that it is impossible to categorise them all within one type of market structure. Discuss.,Analysis,Analyze
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",Comprehension,Understand
Calculate the market demand and market supply in table form. ,Application,Apply
Draw the market demand and supply curve. ,Comprehension,Understand
Describe SIX (6) factors that are affecting supply in the construction industry. ,Comprehension,Understand
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,Application,Apply
Explain THREE (3) difficulties in calculating national income accounting. ,Comprehension,Understand
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,Comprehension,Understand
National income can be calculated using three approaches. State the THREE (3) approaches.,Knowledge,Remember
Draw the ‘market demand' and 'supply curve'. ,Comprehension,Understand
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment. ",Analysis,Analyze
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,Comprehension,Understand
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,Knowledge,Remember
"Discuss the THREE (3) important fundamentals in basic economic concepts that are opportunity cost, efficient market and marginalism. ",Comprehension,Understand
"For any points which fall under the curve, explain the combination of production for steel and bricks. ",Comprehension,Understand
"For any points which fall outside the curve, explain the combination of production for steel and bricks. ",Comprehension,Understand
"For any points which fall exactly on the curve, explain the combination of production for steel and bricks. ",Comprehension,Understand
Define and explain 'Fiscal Policy' in terms of its objectives and differentiate between the 'Discretionary Fiscal Policy' and 'Automatic Fiscal Policy'. ,Analysis,Analyze
"Define and list out the objectives of monetary policy, the quantitative versus qualitative instruments of monetary policy.",Knowledge,Remember
Discuss the comparison between 'Quantitative Instruments' and 'Qualitative Instruments' of monetary policy. ,Comprehension,Understand
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,Comprehension,Understand
Identify and describe THREE (3) difficulties in calculating national income accounting.,Comprehension,Understand
State the THREE (3) approaches to calculate national income.,Knowledge,Remember
You are appointed to identify building defects for a new building. Briefly identify SIX (6) common construction problems you would expect for modern buildings. ,Comprehension,Understand
You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,Comprehension,Understand
Building Information Modeling (BIM) claims to enhance construction efficiency. Discuss THREE (3) benefits you would utilize and their importance to your project. ,Comprehension,Understand
In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,Comprehension,Understand
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",Synthesis,Create
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,Comprehension,Understand
Briefly list the different types of building maintenance. ,Knowledge,Remember
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",Knowledge,Remember
Discuss FOUR (4) common modern construction problems to anticipate. ,Comprehension,Understand
"Propose a suitable preparatory demolition survey, method and shoring where some partial demolition work is included for the rear building portion. ",Synthesis,Create
Describe the factors affecting premature building decay. ,Comprehension,Understand
Provide the objectives of building maintenance. ,Comprehension,Understand
"Design a sketch section of the floor slab adjoining the parapet that includes the scupper drain, drain guard, water proofing layer, and protective topping. ",Synthesis,Create
"Propose solutions to reinforced concrete flat roof defects experienced in Malaysia, such as water ponding, material exposure to solar radiation, poor maintenance culture and concrete spalling due to leaks from cold joints and stress cracks. ",Synthesis,Create
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure. ,Analysis,Analyze
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,Comprehension,Understand
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,Comprehension,Understand
Describe the purposes of utilizing Building Information Modelling in the construction industry. ,Comprehension,Understand
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions. ,Analysis,Analyze
Discuss FIVE (5) types of “Non Destructive Test equipment and how they can be used to aid the sensory indicators of building defects.,Comprehension,Understand
Discuss the types of building defects commonly found on reinforced concrete flat roof which lead to water leaking and concrete cancer and how their cause of defects are defined under ISO 6241. ,Comprehension,Understand
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",Knowledge,Remember
Describe the THREE (3) causes of concrete blister. ,Comprehension,Understand
Explain the conditions where underpinning are usually considered for an existing building construction works. ,Comprehension,Understand
Identify what types of brickwork defects that require rejection from the supervisor. ,Knowledge,Remember
Discuss the best practices to reduce construction demolition and waste for sustainability. ,Comprehension,Understand
You are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. Propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores. ,Synthesis,Create
"Propose with justification, the types of maintenance relevant to a library building. ",Evaluation,Evaluate
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,Comprehension,Understand
"Draw a body-centered cubic (BCC) unit cell. Calculate the volume density and area density on the (0, 0. 1) plane of a BCC cell if the lattice constant is 2.3 Å. Give a brief explanation of your calculations. ",Application,Apply
"If an electron in a hydrogen atom jumps from the first excited state to ground state, find the wavelength of the photon emitted. ",Comprehension,Understand
Determine the resistivity of a Si sample if it is doped with 10 phosphorus atoms/cm and H. = 750 cm Vs. Find the Hall coefficient of the sample. ,Application,Apply
Sketch the 1-V curve of a zener diode and explain what a zener breakdown is. ,Application,Apply
Show that the Fermi-Dirac function is a step function at T = 0 K. ,Application,Apply
Draw the face-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application,Apply
Find the velocity and wavelength of the electron. ,Comprehension,Understand
Apply the energy band diagram to explain why an intrinsic semiconductor is conductive and that its conductivity increases with temperature.,Application,Apply
"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",Comprehension,Understand
State the five assumptions of an ideal diode. ,Knowledge,Remember
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,Comprehension,Understand
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",Comprehension,Understand
Draw the body-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application,Apply
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,Comprehension,Understand
Draw the energy band diagram of the doped semiconductor at 300 K. ,Comprehension,Understand
Calculate the carrier densities of the doped semiconductor at 400 K. ,Application,Apply
Draw the energy band diagram of the pn junction. ,Comprehension,Understand
Find the reverse bias saturation current. ,Comprehension,Understand
State the four different bias modes of a BJT and explain how they are obtained. ,Comprehension,Understand
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",Comprehension,Understand
Draw a faced-centered cubic (FCC) cell. Calculate the packing fraction of the FCC cell. State any assumptions you have made and explain your calculations. ,Application,Apply
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,Comprehension,Understand
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,Comprehension,Understand
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,Comprehension,Understand
State two differences between a JFET and a BJT. ,Comprehension,Understand
Name a donor atom and acceptor atom for Si. ,Knowledge,Remember
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation. ,Comprehension,Understand
Show that the wavefunction of a free particle is a plane wave. ,Application,Apply
Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,Comprehension,Understand
State the conductivity of a semiconductor at 0 K and clearly explain your answer. ,Comprehension,Understand
Determine the doping levels in the respective regions.,Application,Apply
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",Comprehension,Understand
Explain the creation of an electron-hole pair in an intrinsic Si semiconductor at room temperature by using the covalent bonding picture. ,Comprehension,Understand
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,Evaluation,Evaluate
"Sketch the energy band diagram of the ideal metal-semiconductor contact in forward bias mode. Show the conduction and valence band edges, and all the Fermi levels. ",Application,Apply
Compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram. ,Comprehension,Understand
Prove that the wave function of a free electron is a plane wave by using Schrodinger's equation. ,Evaluation,Evaluate
