QUESTION,BT LEVEL
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",COMPREHENSION
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,COMPREHENSION
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,COMPREHENSION
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,ANALYSIS
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",COMPREHENSION
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,COMPREHENSION
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,COMPREHENSION
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,ANALYSIS
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,COMPREHENSION
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",ANALYSIS
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,COMPREHENSION
Differentiate between general controls and application controls. Provide ONE (1) example for each. ,ANALYSIS
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,COMPREHENSION
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,COMPREHENSION
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,COMPREHENSION
Define Information Systems (IS). ,KNOWLEDGE
Discuss in details what Accounting Information Systems (AIS) is. ,COMPREHENSION
State TWO (2) subsystems of AIS. ,KNOWLEDGE
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,COMPREHENSION
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,COMPREHENSION
Explain on the advantages of switching from a flat-file processing system to a database management system. ,COMPREHENSION
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized. ,COMPREHENSION
Briefly explain any TWO (2) security objectives of audit trails. ,COMPREHENSION
Define and contrast digital certificate and digital signature. ,COMPREHENSION
Explain how transactions are audited in an electronic data interchange environment. ,COMPREHENSION
List any THREE (3) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated. ,COMPREHENSION
Identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. Evaluate the graphical diagram. ,EVALUATION
List out FOUR (4) benefits of using RFID.,KNOWLEDGE
Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement. ,SYNTHESIS
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,KNOWLEDGE
List out any SIX (6) factors to be considered when designing a layout. ,KNOWLEDGE
Examine cross-docking warehouse layout. ,ANALYSIS
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme. ,COMPREHENSION
Examine traditional warehouse layout and cross-docking layout. ,ANALYSIS
Explain FOUR (4) process strategies you have learned. ,COMPREHENSION
Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,COMPREHENSION
Explain any FOUR (4) product design strategies that could help company to reduce cost. ,COMPREHENSION
Compare product layout and process layout. ,ANALYSIS
Explain FOUR (4) types of process design that could be found in manufacturing companies. ,COMPREHENSION
"“Goods and services design could help manufacturers to gain competitive advantages."" Justify the statement with any THREE (3) strategies. ",EVALUATION
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,COMPREHENSION
Compare matching demand and level aggregate production planning. ,ANALYSIS
Briefly explain FOUR (4) manufacturing layout you have learned.,COMPREHENSION
Discuss TWO (2) common methods of managing inventory adopted by manufacturing and retailing companies. ,COMPREHENSION
Identify any TWO (2) product design strategies you have learned. Explain how both strategies could be useful for instant respond to customer demand. ,COMPREHENSION
Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation. ,SYNTHESIS
The key success of Arnold Palmer Hospital is its implementation of Total Quality Management (TQM) Programme. Describe FIVE (5) principles of TQM Programme which have been adopted by the aforesaid hospital. ,COMPREHENSION
Explain any FOUR (4) product design strategies you have learned. Evaluate the importance of each strategy. ,COMPREHENSION
Discuss what world-class producers do in regards to product or service design and process design. ,COMPREHENSION
Identify FIVE (5) strategies to make hypermarket retail layout to be more attractive in responding to customers' various shopping behaviors.,COMPREHENSION
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,KNOWLEDGE
Identify SIX (6) factors to be considered when designing layout. ,KNOWLEDGE
“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,EVALUATION
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan. ,COMPREHENSION
Explain the purpose of human communication process. ,COMPREHENSION
Label the human communication process diagram below.,KNOWLEDGE
Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,COMPREHENSION
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,KNOWLEDGE
Explain the reasons of using a mixed-media approach by advertisers. ,COMPREHENSION
"Marketers theorize that just as humans pass through stages in life from infancy to old age, products also pass through a product life cycle. Explain all FOUR (4) stages of a product life cycle. ",COMPREHENSION
Explain briefly the effectiveness of advertising based on strategy concept. ,COMPREHENSION
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",COMPREHENSION
Explain FIVE (5) advantages of out-of-home (OOH) advertising.,COMPREHENSION
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,COMPREHENSION
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,COMPREHENSION
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,KNOWLEDGE
Explain the psychological factors which influence consumer behavior. ,COMPREHENSION
Discuss the negative effects of advertising on children. ,COMPREHENSION
Identify FIVE (5) key players in advertising. ,KNOWLEDGE
List SEVEN (7) types of advertising. ,KNOWLEDGE
Identify FOUR (4) factors that influence consumer behaviour. ,KNOWLEDGE
List FIVE (5) basic types of research.,KNOWLEDGE
Describe the SEVEN (7) advantages of radio advertising. ,KNOWLEDGE
NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,EVALUATION
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",ANALYSIS
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",SYNTHESIS
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",SYNTHESIS
Define FOUR (4) primary roles of advertising in business and society. ,KNOWLEDGE
Define briefly the role of marketing in advertising effectiveness. ,KNOWLEDGE
Explain briefly the media usage in advertising effectiveness. ,COMPREHENSION
Describe FIVE (5) key players in advertising. ,KNOWLEDGE
Explain 4P's of marketing. ,COMPREHENSION
Describe consumer behaviour. ,KNOWLEDGE
Explain in detail the Maslow Hierarchy of Needs. ,COMPREHENSION
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,COMPREHENSION
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,SYNTHESIS
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,SYNTHESIS
Define Chiaroscuro and Sfumato technique.,KNOWLEDGE
Explain TWO (2) components of art. ,COMPREHENSION
Describe the Pop Art style in 1958 - 1972.,KNOWLEDGE
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,COMPREHENSION
Sketch ONE (1) movement to show repetition in shape and color. ,COMPREHENSION
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",EVALUATION
Define 2 dimensional and 3 dimensional designs. ,KNOWLEDGE
Describe FIVE (5) categories of space.,KNOWLEDGE
Describe Renaissance art style. ,KNOWLEDGE
Draw ONE (1) point perspective with TWO (2) geometrical forms.,COMPREHENSION
Draw a color wheel diagram with primary and secondary color. ,COMPREHENSION
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",COMPREHENSION
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,COMPREHENSION
Write FIVE (5) types of lines. ,KNOWLEDGE
List down FIVE (5) types of shapes. ,KNOWLEDGE
Describe Impressionism art style. ,KNOWLEDGE
Write THREE (3) categories of color. ,KNOWLEDGE
Define color temperature. ,KNOWLEDGE
Describe FIVE (5) techniques to achieve dominance. ,KNOWLEDGE
Draw similar repetition and interval repetition. ,COMPREHENSION
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,COMPREHENSION
Describe color wheel. ,KNOWLEDGE
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",COMPREHENSION
Explain briefly 'designer' and 'professional designer'.,COMPREHENSION
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",COMPREHENSION
Explain creative brief. ,COMPREHENSION
Write down the FIVE (5) phases of the design process. ,KNOWLEDGE
Explain briefly the design development process.,COMPREHENSION
Explain the conceptual design process. ,COMPREHENSION
Define problem solving processes.,KNOWLEDGE
Write FOUR (4) purposes of poster. ,KNOWLEDGE
Identify FIVE (5) problem solving processes. ,KNOWLEDGE
Explain FIVE (5) phases of graphic design process. ,COMPREHENSION
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,COMPREHENSION
Define graphic design and product design. ,KNOWLEDGE
Explain the importance of visual in a poster design. ,COMPREHENSION
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature. ,COMPREHENSION
Draw a front and back for business card layout. ,COMPREHENSION
Draw a Picture Window layout design. ,COMPREHENSION
Draw TWO (2) logo design for food and beverage products. ,COMPREHENSION
Describe graphic design and product design. ,KNOWLEDGE
Explain the process of ideas generation. ,COMPREHENSION
Explain briefly FIVE (5) strategies for effective packaging design. ,COMPREHENSION
Illustrate type driven layout design for a poster. ,COMPREHENSION
Explain in details FIVE (5) ways to make a brand name effective.,COMPREHENSION
Write in details FIVE (5) phases of design process.,COMPREHENSION
Describe the meaning of 'design'. ,KNOWLEDGE
Define liberal art.,KNOWLEDGE
Describe graphic design. ,KNOWLEDGE
Define brainstorming process. ,KNOWLEDGE
Describe material gathering process. ,KNOWLEDGE
Explain the meaning of creative brief.,COMPREHENSION
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,APPLICATION
Draw a poster layout design for Healthy Life Style. ,COMPREHENSION
The structural view of language has several components. List FIVE (5) components. ,KNOWLEDGE
"In about 70 words, explain how the different components function in language learning. ",COMPREHENSION
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,KNOWLEDGE
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important. ,COMPREHENSION
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,KNOWLEDGE
Distinguish between objectives and learning outcomes when planning a lesson. ,ANALYSIS
There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,EVALUATION
Discuss the role of skimming and scanning as pre-reading activities. ,COMPREHENSION
List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,COMPREHENSION
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",COMPREHENSION
Discuss FIVE (5) main differences between aims and learning outcomes. ,COMPREHENSION
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",COMPREHENSION
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,KNOWLEDGE
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,KNOWLEDGE
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",COMPREHENSION
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",EVALUATION
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",COMPREHENSION
Differentiate spoken and written language in FIVE (5) aspects. ,ANALYSIS
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,COMPREHENSION
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,KNOWLEDGE
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,COMPREHENSION
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,COMPREHENSION
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,COMPREHENSION
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,COMPREHENSION
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,COMPREHENSION
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,EVALUATION
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,ANALYSIS
Explain FIVE (5) characteristics of social media. ,COMPREHENSION
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,KNOWLEDGE
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,COMPREHENSION
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,COMPREHENSION
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,COMPREHENSION
Explain FIVE (5) key components of organization crisis definition.,COMPREHENSION
List FIVE (5) types of trick questions.,KNOWLEDGE
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,COMPREHENSION
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,COMPREHENSION
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,COMPREHENSION
Identify the type of crisis based on time as a critical variable. ,COMPREHENSION
List TEN (10) components of an effective crisis communication plan.,COMPREHENSION
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,COMPREHENSION
Identify TEN (10) tips during the press conference. ,KNOWLEDGE
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,COMPREHENSION
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,COMPREHENSION
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",COMPREHENSION
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,COMPREHENSION
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,COMPREHENSION
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,ANALYSIS
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,COMPREHENSION
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,SYNTHESIS
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,SYNTHESIS
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,EVALUATION
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",SYNTHESIS
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,SYNTHESIS
Describe what happens during the negative feedback loop of thermoregulation. ,COMPREHENSION
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,COMPREHENSION
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,COMPREHENSION
Suggest FOUR (4) recommendations in dealing with intersexes. ,SYNTHESIS
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,SYNTHESIS
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,EVALUATION
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,SYNTHESIS
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",EVALUATION
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,EVALUATION
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",SYNTHESIS
"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",ANALYSIS
"Give FIVE (5) examples of how a song can enhance a literature class, with an elaboration for each example given. ",COMPREHENSION
Define instructional materials based on your understanding. ,KNOWLEDGE
List TWO (2) importance of using instructional materials in teaching.,KNOWLEDGE
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,ANALYSIS
Jolly and Bolitho (1998) proposed a 7-stage framework to show the process of material design. Apply the framework through use of media to teach 14 year old students action verbs. State the type of media that is going to be used for the lesson. ,APPLICATION
Define instructional materials. ,KNOWLEDGE
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,KNOWLEDGE
Examine FIVE (5) advantages of using video as instructional materials to primary school students. ,ANALYSIS
Rewriting and restructuring are the methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach speaking to intermediate proficiency students. ,COMPREHENSION
Define instructional materials. Provide an example of an instructional material for a subject. ,COMPREHENSION
"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",ANALYSIS
Describe focused task and how it can be used to teach grammar for low  proficiency students. ,KNOWLEDGE
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,COMPREHENSION
"There are five (5) techniques in adapting materials as conjured by McDonough, Shaw and Matsuhara (2012). Elaborate on the ADDING technique to adapt a topic in a course book to teach present tense to Form 1 low proficiency students by using example. ",COMPREHENSION
"Describe dictogloss and how it can be used to teach listening, writing and  speaking skills for intermediate proficiency students. ",COMPREHENSION
Define instructional materials and provide an example of it. ,COMPREHENSION
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,COMPREHENSION
Define teachers' Pedagogical Reasoning Skills and explain how it helps teachers use instructional materials in classroom. ,COMPREHENSION
Deleting and abridging are methods to modify instructional material when it is adapted. Illustrate both methods by adapting a short story to teach reading and writing skills to intermediate proficiency students.,COMPREHENSION
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,COMPREHENSION
Support your views with ONE (1) example for each disadvantage. ,EVALUATION
Propose TWO (2) strategies to reduce the occurrence of bullying.,SYNTHESIS
Support your views with ONE (1) example for each strategy.,EVALUATION
Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,SYNTHESIS
Support your answers with ONE (1) example for each factor.,SYNTHESIS
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories. ,ANALYSIS
Support your answers with ONE (1) example in everyday life for each theory. ,EVALUATION
Identify TWO (2) types of personality that are relevant to aggression. ,COMPREHENSION
Support your answers with ONE (1) example from everyday life for each type of personality. ,EVALUATION
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,ANALYSIS
Support your answers with ONE (1) example in everyday life for each strategy. ,EVALUATION
Define schemas. ,KNOWLEDGE
Distinguish automatic processing and controlled processing of information. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,ANALYSIS
Define attitudes. ,KNOWLEDGE
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,EVALUATION
"Based on the social learning perspective, propose a strategy that able to reduce or eliminate prejudice. Support your strategy with ONE (1) relevant example. Elaborate your example in details. ",EVALUATION
Propose a line-up procedure that police departments can use to improve the accuracy. of eyewitness testimony. Support your proposal with ONE (1) relevant example. Elaborate your example in details. ,SYNTHESIS
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,SYNTHESIS
Propose TWO (2) self-presentation tactics for impression management. ,SYNTHESIS
Support your views with TWO (2) examples in everyday life for each tactic. ,EVALUATION
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,SYNTHESIS
Support your views with TWO (2) examples from everyday life for each origins. ,EVALUATION
Propose TWO (2) strategies to resist persuasion. ,SYNTHESIS
Support your answers with TWO (2) examples in everyday life for each strategy. ,EVALUATION
Define attribution. ,KNOWLEDGE
Explain TWO theories of causal attribution that was proposed by Jones and Davis (1965) and Kelley (1972). ,COMPREHENSION
Support your answers with ONE (1) example in everyday life for EACH theory. ,EVALUATION
Define prosocial behaviors. ,KNOWLEDGE
Identify FOUR (4) factors that affect the willingness of people to perform prosocial behaviors. ,COMPREHENSION
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,EVALUATION
Define prejudice. ,KNOWLEDGE
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,KNOWLEDGE
Support your answers with ONE (1) example in everyday life for EACH perspective. ,EVALUATION
List down the environmental factors that an international marketer should consider. ,KNOWLEDGE
Define the Demographic characteristics.,KNOWLEDGE
The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,COMPREHENSION
Discuss political risk in the Political-Legal Environment of the Host Country. ,COMPREHENSION
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,COMPREHENSION
Explain THREE (3) data collection challenges in advertising research.,COMPREHENSION
Explain on global and local approach in coordinating and controlling the international advertising.,COMPREHENSION
Describe the advantages of Product Standardization. ,KNOWLEDGE
Explain the Mandatory of Product Adaptation. ,COMPREHENSION
Explain the consideration of pricing objectives in marketing mix. ,COMPREHENSION
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,COMPREHENSION
Discuss the relationship between advertising and children. ,COMPREHENSION
Discuss the impact of advertising on children. ,COMPREHENSION
Identify and explain FIVE (5) countries that ban advertising to children. ,COMPREHENSION
Explain the function of International Monetary Fund (IMF). ,COMPREHENSION
Explain on Brand Piracy. ,COMPREHENSION
Explain the packaging and labeling decisions. ,COMPREHENSION
Explain the anti-advertising consumer organizations culture. ,COMPREHENSION
Explain the effect of stereotyping young teenage in advertising on society. ,COMPREHENSION
Describe the Concept of Culture.,KNOWLEDGE
Illustrate TWO (2) Implications for International Advertisers ,COMPREHENSION
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,EVALUATION
"For international marketers, economic factors are important. Explain why economic factors are important to them. ",COMPREHENSION
Explain FIVE (5) reasons for the importance of global markets to marketers. ,COMPREHENSION
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,COMPREHENSION
Explain THREE (3) waves of globalisation. ,COMPREHENSION
Describe the challenges in global advertising. ,KNOWLEDGE
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",COMPREHENSION
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,COMPREHENSION
Identify the role of advertising in global women's magazines and local women's magazine. ,COMPREHENSION
Describe the function of International Monetary Fund (IMF).,KNOWLEDGE
Identify THREE (3) classification system of economy. ,KNOWLEDGE
Summarise the challenges of global advertising. ,COMPREHENSION
Identify any FIVE (5) significances of nonverbal communication in organization. ,KNOWLEDGE
Explain formal network. ,COMPREHENSION
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,COMPREHENSION
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication. ,COMPREHENSION
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",KNOWLEDGE
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,KNOWLEDGE
Identify FIVE (5) effects of organizational communication technology towards communication pattern. ,KNOWLEDGE
Define organizational culture according to Schein (1990). ,KNOWLEDGE
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",COMPREHENSION
Draw and label the model of Karl Weick's Theory of Organizing. ,COMPREHENSION
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,KNOWLEDGE
List FIVE (5) elements in downward communication.,KNOWLEDGE
Evaluate any FIVE (5) power bases. Provide a relevant example for each power base. ,EVALUATION
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause. ",COMPREHENSION
Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,COMPREHENSION
Describe the FOUR (4) main phases of The Hawthorne Studies. Support your description with the significance of each of the phases. ,EVALUATION
Hersey and Blanchard (1977) style of leadership specifies that a leader's behavior corresponds to employees' level of maturity. Explain the FOUR (4) styles of Situational Leadership and support your answer with an example for each of the styles on whom they should be applied in an organization. ,COMPREHENSION
Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,EVALUATION
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,EVALUATION
Explain distributive bargaining and integrative bargaining. ,COMPREHENSION
Discuss THREE (3) factors influencing the conflict management process. Support each of your answers with ONE (1) relevant example. ,EVALUATION
Explain TWO characteristics of rich media. ,COMPREHENSION
Discuss THREE (3) consequences of technology on organizational communication. Provide ONE (1) relevant example for each answer. ,COMPREHENSION
Define Classical approach and Human Relations approach. ,KNOWLEDGE
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",APPLICATION
"Draw the ""onion model that represents Schein's Model of Organizational Culture. ",COMPREHENSION
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level. ,COMPREHENSION
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model. ,COMPREHENSION
Compare any FIVE (5) differences between formal networks and informal networks. ,ANALYSIS
Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,COMPREHENSION
Explain the SIX (6) power bases that determine effective leadership. Provide an example for each of the answers.,COMPREHENSION
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",KNOWLEDGE
Generalize FIVE (5) ways to use digital photography in classroom teaching and learning.,EVALUATION
Analyze FIVE (5) disadvantages of multimedia in education. ,ANALYSIS
Elaborate FOUR (4) advantages of using Web 2.0 and 3.0 in teaching and learning. ,COMPREHENSION
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",COMPREHENSION
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",EVALUATION
Define the basic concepts involved in incorporating technology in teaching English language at secondary school level. ,COMPREHENSION
Illustrate with example the FOUR (4) advantages of photography. ,COMPREHENSION
Categorize FIVE (5) advantages of multimedia in primary school education. ,COMPREHENSION
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,COMPREHENSION
